NAME,neighbourhood_group,neighbourhood,room_type,price,number_of_reviews,last_review
LIGHT BEDROOM WITH MANHATTEN SKYLINE VIEW,Brooklyn,Williamsburg,Entire home/apt,178,22,21/10/2018
EAST VILLAGE ¬∑ PIED √Å TERRE ¬∑ NYC,Queens,Sunnyside,Entire home/apt,170,149,01/07/2019
"PRIVATE ROOM IN SUNNY, SPACIOUS 3 BDRM APARTMENT",Queens,Woodhaven,Private room,45,235,30/06/2019
THE HUGH SUITES 3MINS TO JFK,Manhattan,Midtown,Private room,70,4,29/10/2018
*AWESOME PLACE*2 MIN SUBWAY!,Manhattan,Upper East Side,Shared room,45,20,26/05/2019
BOUTIQUE GOWANUS QUEEN STUDIO,Brooklyn,Bushwick,Private room,65,33,30/09/2018
GOWANUS INN BOUTIQUE QUEEN,Manhattan,Upper East Side,Shared room,45,22,05/05/2019
GOWANUS BOUTIQUE QUEEN STUDIO,Manhattan,Upper East Side,Shared room,45,22,22/12/2018
BEAUTIFUL BROOKLYN STUDIO,Manhattan,Upper East Side,Shared room,45,22,01/07/2018
STUDIO IN GREENWICH VILLAGE,Manhattan,Upper East Side,Private room,90,79,18/06/2019
"BEAUTIFUL, LOVELY W. VILLAGE ROOM FOR FEMALES!",Manhattan,Washington Heights,Entire home/apt,150,17,02/07/2019
CONTEMPORARY 3 BEDROOM IN MASPETH QUEENS,Manhattan,Murray Hill,Entire home/apt,125,100,17/06/2019
DREAMY BROOKLYN STUDIO IN PROSPECT HEIGHTS WITH AC,Brooklyn,Crown Heights,Entire home/apt,175,121,29/04/2019
SUNNY ESCAPE IN VICTORIAN BEVERLEY SQUARE WEST,Brooklyn,Bushwick,Shared room,75,25,07/03/2017
BUSHWICK PRIVATE 10 FOOT CEILING DWELLING,Manhattan,Chelsea,Entire home/apt,295,50,07/07/2019
"COSY SPACE,  30 MIN TO MANHATTAN 15 BARCLAY CENTER",Brooklyn,Windsor Terrace,Entire home/apt,50,74,01/06/2019
COMFY COUCH IN COOL MODERN BROOKLYN (BUSHWICK) APT,Brooklyn,Brownsville,Private room,69,104,21/06/2019
CHARMING & COZY 1BR IN PARK SLOPE W/OUTDOOR SPACE,Manhattan,Financial District,Entire home/apt,175,2,01/03/2018
AMAZING QUITE & COZY ROOM WITH PRIVATE BACKYARD!,Brooklyn,Greenpoint,Private room,49,4,23/06/2019
PERFECT APARTMENT FOR 2 (IN MANHATTAN),Manhattan,Harlem,Private room,55,31,26/06/2019
BRIGHT PRIVATE ROOM IN BROOKLYN,Manhattan,Chelsea,Entire home/apt,249,2,18/09/2016
MODERN TOUCH.,Queens,Astoria,Private room,36,37,24/06/2019
EXPERIENCING NYC WITH COMFORTS OF HOME,Brooklyn,Bedford-Stuyvesant,Private room,50,39,21/06/2019
BEAUTIFUL MODERN DESIGNER LOFT WITH BATHTUB!,Manhattan,Midtown,Entire home/apt,87,2,19/02/2017
WILLIAMSBURG PRIVATE ROOM IN 4 BR APT OFF L TRAIN,Brooklyn,Cypress Hills,Private room,42,12,19/05/2019
"PRIVATE ROOM IN BRIGHT, CHARMING LES APARTMENT",Brooklyn,Greenpoint,Entire home/apt,129,87,23/06/2019
WEST VILLAGE PENTHOUSE STUDIO,Manhattan,West Village,Entire home/apt,186,197,07/07/2019
KINGSIZE BEDROOM IN HARLEM BROWNSTONE,Brooklyn,Williamsburg,Entire home/apt,350,2,10/06/2018
COZY ROOM FOR RENT IN SOUTH SLOPE,Manhattan,Tribeca,Entire home/apt,210,1,30/04/2019
MAPLE PLACE,Queens,Corona,Entire home/apt,119,37,02/07/2019
QUIET 1-2BR APARTMENT IN THE HEART OF LITTLE ITALY,Manhattan,Civic Center,Private room,75,17,31/03/2019
COMFY APT IN NYC BROWNSTONE,Manhattan,Upper East Side,Entire home/apt,400,4,08/12/2018
SPACIOUS 2-BEDROOM APT IN HEART OF GREENPOINT,Brooklyn,Bedford-Stuyvesant,Private room,60,59,02/07/2019
A SUITE STAY,Brooklyn,Bedford-Stuyvesant,Private room,140,8,29/05/2017
PRIME LOCATION: ABUNDANT STORES & TRANSPORTATION!,Manhattan,Gramercy,Entire home/apt,245,1,01/11/2018
LOWER EAST SIDE STUDIO ESCAPE #4,Manhattan,Tribeca,Entire home/apt,245,1,26/05/2018
MINIMALISTIC APARTMENT/DECK IN HISTORIC BROWNSTONE,Queens,Elmhurst,Entire home/apt,89,146,25/06/2019
WELIVE WALL STREET -- 4 BEDROOM,Manhattan,Hell's Kitchen,Entire home/apt,115,6,05/06/2019
CASA EVOL,Brooklyn,Crown Heights,Private room,69,132,24/06/2019
WELIVE WALL STREET -- STUDIO APARTMENT,Manhattan,Midtown,Entire home/apt,300,38,27/06/2019
LARGE ROOM FOR 2 PEOPLE QUEEN SIZE BED,Queens,Corona,Private room,52,45,07/08/2018
BEAUTIFUL HEALTHY HOME IN DITMAS PARK,Brooklyn,Greenpoint,Private room,90,2,14/08/2016
ADORABLE MIDTOWN STUDIO,Manhattan,Midtown,Entire home/apt,400,103,17/06/2019
ONE ROOM.,Manhattan,Theater District,Entire home/apt,199,1,08/01/2017
BEAUTIFUL 1 BD APARTMENT IN THE HEART OF BROOKLYN.,Manhattan,Midtown,Entire home/apt,163,4,13/05/2019
HOUSE ON THE HILL WITH FREE PARKING IN NYC!,Manhattan,Midtown,Entire home/apt,150,136,21/06/2019
BEAUTIFUL BEDROOM + PRIVATE BATHROOM IN BED-STUY,Manhattan,Hell's Kitchen,Entire home/apt,199,1,04/10/2016
DESIGN FURNISHED QUEEN STUDIO ROOM IN GOWANUS,Manhattan,Chelsea,Entire home/apt,289,2,05/11/2018
BOUTIQUE HOTEL QUEEN ROOM IN GOWANUS,Manhattan,Chelsea,Entire home/apt,219,1,11/08/2017
PRIVATE 2 BR APT HEART OF MID-TOWN TIMES SQUARE!!,Manhattan,Hell's Kitchen,Entire home/apt,200,3,26/11/2017
SOHO 2 BEDROOM PRIVATE TERRACE,Queens,South Ozone Park,Entire home/apt,195,239,21/06/2019
"SPACIOUS, BRIGHT AND BEAUTIFUL 2 BR APARTMENT.",Manhattan,Harlem,Entire home/apt,175,34,19/06/2019
PRIVATE BASEMENT STUDIO IN GREENPOINT,Manhattan,Hell's Kitchen,Entire home/apt,170,112,01/07/2019
MANHATTAN COCOON @ SPACIOUS NEW RENOVATED APT,Queens,Woodside,Private room,70,9,22/06/2019
LGA NEWLY RENOVATED ONE BEDROOM APT.1,Brooklyn,Crown Heights,Entire home/apt,105,7,28/04/2019
10 MINS/AIRPORTS JFK/LGA/HOSP/MALLS BUS/TRAIN#2,Manhattan,East Harlem,Entire home/apt,140,28,24/04/2019
BED-STUY MODERN ONE BEDROOM PLUS PRIVATE BATHROOM,Brooklyn,Flatlands,Entire home/apt,90,125,07/07/2019
GOWANUS-PARK SLOPE- QUEEN STUDIO ROOM,Brooklyn,Manhattan Beach,Private room,125,21,12/06/2019
PARK SLOPE-GOWANUS BOUTIQUE QUEEN STUDIO,Manhattan,Chelsea,Entire home/apt,230,1,03/11/2016
CUTE STUDIO IN MIDTOWN MANHATTAN,Brooklyn,Downtown Brooklyn,Entire home/apt,225,36,03/07/2019
SKYLIGHT LIVING IN NYC,Manhattan,Greenwich Village,Entire home/apt,159,4,16/06/2019
LGA NEWLY RENOVATED APT.2,Manhattan,Gramercy,Entire home/apt,180,1,31/07/2017
"CHARMING 1BR - KING BED, FULL KITCHEN, LAUNDRY",Brooklyn,Sunset Park,Entire home/apt,225,130,28/06/2019
COZY ROOM NEAR EXPRESS TRAIN TO MANHATTAN,Queens,Elmhurst,Private room,49,65,01/07/2019
BIG BEDROOM W/ BATHROOM - BUSHWICK LUXURY BUILDING,Brooklyn,Park Slope,Private room,109,68,10/06/2019
OLDER VICTORIAN FRONT 1ST FLOOR D TRAIN CORNER,Manhattan,Midtown,Entire home/apt,269,1,18/11/2018
COZY & CLEAN ROOM IN ASTORIA 15 MIN TO MANHATTAN.,Brooklyn,Greenpoint,Private room,81,131,19/06/2019
BRAND NEW 2 BEDROOM 2 BATH DOWNTOWN GEM,Brooklyn,Prospect Heights,Entire home/apt,499,7,15/04/2019
"PRIVATE RM; JFK(10MINS), LGA(15MINS), MANH(30MINS)",Manhattan,East Harlem,Entire home/apt,165,49,29/06/2019
BIG BEDROOM AT THE HEART OF MANHATTAN,Manhattan,Washington Heights,Private room,55,2,10/05/2019
"PERFECT, PRIVATE GARDEN APARTMENT (PRIME BROOKLYN)",Bronx,Claremont Village,Entire home/apt,57,11,10/05/2019
LUXURY SKYLINE VIEWS! BEST PANAROMIC VIEWS OF NYC.,Brooklyn,Prospect Heights,Entire home/apt,201,66,16/06/2019
BEAUTIFUL BED BED ROOM,Brooklyn,Bushwick,Entire home/apt,59,177,24/06/2019
BEAUTIFUL HUGE NEWLY-RENOVATED APT GREAT LOCATION.,Queens,Jamaica,Private room,40,14,11/10/2018
$850 UP TO 3 MONTH FEMALE ONLY,Brooklyn,Williamsburg,Entire home/apt,175,102,25/06/2019
BIG STUDIO AT GRAND CENTRAL STATION AREA.,Queens,Long Island City,Entire home/apt,151,87,05/07/2019
STYLISH QUEEN BED ROOM - GOWANUS - PARK SLOPE,Brooklyn,Clinton Hill,Entire home/apt,100,64,27/06/2019
DESIGNER CONDO WITH LOFTED MEZZANINE,Manhattan,East Harlem,Private room,80,29,05/07/2019
OLD WORLD CHARM IN THE HEART OF BROOKLYN R1,Manhattan,Upper East Side,Entire home/apt,235,8,27/10/2016
EAST HARLEM PIED A TERRE,Manhattan,Hell's Kitchen,Entire home/apt,90,11,01/05/2019
PRIVATE NEWEST ROOM IN BUSHWICK.,Brooklyn,Crown Heights,Private room,40,119,31/05/2019
AMAZING COZY AND WARM MALE ROOM ON MANHATTAN IV,Bronx,Williamsbridge,Entire home/apt,67,205,12/06/2019
LUXURY WILLIAMSBURG 2-STORY APARTMENT W/ PATIO,Manhattan,Hell's Kitchen,Private room,75,146,06/07/2019
BRIGHTON BEACH HIDEAWAY 5 MIN WALK FROM THE BEACH,Manhattan,Hell's Kitchen,Entire home/apt,99,19,19/07/2018
BEAUTIFUL BEACH HOUSE IN NYC!,Manhattan,East Harlem,Entire home/apt,199,30,03/06/2019
SPACIOUS LIGHT ROOM IN A COOL NEIGHBORHOOD,Queens,Sunnyside,Private room,71,40,21/05/2019
CASA DE COMPRI INT'L,Brooklyn,East Flatbush,Private room,100,30,01/07/2019
LARGE MASTER BEDROOM IN MIDTOWN WEST,Manhattan,Upper East Side,Entire home/apt,138,95,07/06/2019
COZY URBAN RETREAT,Brooklyn,Bushwick,Private room,52,97,02/07/2019
BRIGHT DESIGNER NOHO/GREENWICH VILLAGE LOFT,Queens,Woodside,Entire home/apt,125,156,25/06/2019
"3-BEDROOM HOUSE WITH HOT TUB NEAR JFK, LGA & NYC",Manhattan,Harlem,Private room,75,107,13/06/2019
NEW BROOKLYN HOTSPOT,Manhattan,Hell's Kitchen,Entire home/apt,70,112,24/06/2019
WILLIAMSBURG APARTMENT WITH PRIVATE BACKYARD,Manhattan,Greenwich Village,Entire home/apt,600,24,01/06/2019
EXPERIENCE NYC THE BROOKLYN WAY PRIVATE 2 BEDROOMS,Brooklyn,Park Slope,Entire home/apt,175,31,31/05/2019
"STUDIO, BEST LOCATION NEAR COLUMBUS CIRCLE",Brooklyn,Crown Heights,Entire home/apt,150,141,06/07/2019
"COZY, PRIVATE ROOM NEAR PROSPECT PARK & BK MUSEUM",Brooklyn,Fort Greene,Private room,76,23,14/11/2017
"COZY PRIVATE ROOM, 10 MINS AWAY FROM CENTRAL PARK!",Brooklyn,Bedford-Stuyvesant,Entire home/apt,170,72,23/06/2019
2000≈ëé ∆≥ï∆ãâ«õõ«æéƒ∏Ω»±™≈çé≈§ß≈•ó∆àø,Manhattan,Hell's Kitchen,Entire home/apt,225,32,25/06/2019
HARLEM JAZZ (PRIVATE BATH),Brooklyn,Park Slope,Entire home/apt,150,42,12/05/2019
ENTIRE LOFT STYLE 1BR APARTMENT IN GREENPOINT,Manhattan,Upper West Side,Entire home/apt,202,8,20/05/2019
"SUPER CUTE, COZY, & CONVENIENT...",Queens,Woodhaven,Private room,38,170,06/06/2019
FORT GREENE LOFT,Brooklyn,Bedford-Stuyvesant,Private room,75,37,17/06/2019
VINTAGE,Manhattan,Chelsea,Entire home/apt,130,63,23/06/2019
FULL FLOOR PENTHOUSE LOFT- 3BR 2 BATH TIMES SQUARE,Manhattan,Upper West Side,Entire home/apt,100,2,23/07/2018
"BEAUTIFUL, SPACIOUS, AND ZEN BROOKLYN DWELLING",Manhattan,Tribeca,Entire home/apt,325,6,04/07/2018
"CAPTIVATING SUNNY STUDIO, CLOSE TO EVERYTHING",Queens,Forest Hills,Entire home/apt,509,7,13/09/2018
DUPLEX COZY BROOKLYN,Manhattan,Gramercy,Entire home/apt,225,1,31/07/2017
PRIME PARK SLOPE ON 14TH STREET,Queens,Jackson Heights,Shared room,35,120,21/06/2019
"MODERN MASTER BEDROOM, LES, 2MN TO TRAIN",Queens,Astoria,Private room,95,45,04/07/2019
HISTORICAL MIDTOWN EAST RETREAT - STEPS TO THE U.N,Manhattan,Hell's Kitchen,Entire home/apt,119,136,15/06/2019
HUGE BEDROOM 3RD # IN A PRIVATELY OWN BROWNSTONE,Manhattan,Chelsea,Entire home/apt,154,23,02/06/2019
"BROOKLYN LOFT, 3BED, 2BATH, 15 MINS TO MANHATTAN",Manhattan,Inwood,Private room,80,12,27/12/2017
*MEMORY FOAM MATTRESS LOVERS//NETFLIX!!,Brooklyn,Manhattan Beach,Entire home/apt,99,41,04/07/2019
RESTORATIVE HAVEN IN A GREAT NEIGHBORHOOD,Manhattan,Murray Hill,Entire home/apt,199,2,07/06/2019
COZY ARTISTIC 3 BEDROOM HOME 15-20MINS FROM JFK,Manhattan,Midtown,Private room,99,180,21/06/2019
FULLY FURNISHED COOL PRIVATE ROOM.,Manhattan,Harlem,Private room,62,1,17/07/2016
LARGE PRIVATE BEDROOM AND BATH NEAR SHOPS & PARKS,Manhattan,Theater District,Private room,180,15,20/06/2019
LUXURY NYC APARTMENT ON CENTRAL PARK WEST,Brooklyn,Bedford-Stuyvesant,Private room,65,5,23/06/2019
CLEAN ROOM #1 IN BROOKLYN HOME 15 MIN FROM JFK,Brooklyn,East Flatbush,Entire home/apt,85,117,04/06/2019
"BRIGHT LARGE STUDIO LOFT, 100% PRIVATE, BUSHWICK",Manhattan,Washington Heights,Private room,70,37,08/06/2019
ROOM 1 AT LOWER MANHATTAN 18MINS FROM TIMESQUARE,Manhattan,Washington Heights,Entire home/apt,150,12,23/04/2019
"SPACIOUS, MODERN TWO BEDROOM, TWO BATH IN HARLEM",Brooklyn,Bushwick,Private room,70,111,10/06/2019
CARROLL GARDENS BROOKLYN BROWNSTONE GUEST QUARTER,Brooklyn,Bushwick,Private room,85,44,23/06/2019
LARGE COMFY CLEAN BEDROOM IN BROOKLYN,Queens,Astoria,Entire home/apt,99,94,27/05/2019
SPACIOUS BEAUTIFUL STUDIO IN MIDTOWN MANHATTAN,Brooklyn,Bushwick,Private room,75,117,16/06/2019
INCREDIBLE NEWLY RENOVATED TWO-BEDROOM APARTMENT,Manhattan,Chelsea,Private room,85,22,05/11/2018
LUXURY PRIVATE ROOM LOCATED IN FRESH MEADOWS,Brooklyn,Flatbush,Entire home/apt,80,5,04/09/2018
BED-STUY MODERN PRIVATE ROOM NEAR WILLIAMSBURG,Manhattan,Hell's Kitchen,Entire home/apt,369,1,16/07/2016
BOHEMIAN 3 BEDROOM BROWNSTONE DUPLEX IN BROOKLYN,Queens,Long Island City,Private room,75,14,13/04/2019
COZY APARTMENT NEAR CENTRAL PARK,Brooklyn,Prospect Heights,Entire home/apt,136,169,24/06/2019
STUNNING MODERN ECO WEST VILLAGE 3 FLOOR TOWNHOME!,Brooklyn,Bushwick,Private room,101,28,08/06/2019
BOUTIQUE LUXURY IN THE HEART OF CHELSEA,Manhattan,Washington Heights,Private room,40,11,18/04/2019
EAST HARLEM ROOM(#2) ON MADISON AVENUE,Brooklyn,Dyker Heights,Private room,43,30,07/07/2019
STUDIO SANCTUARY IN LANDMARK BROWNSTONE,Manhattan,Inwood,Private room,40,78,26/06/2019
NEWLY FURNISHED & RENOVATED ROOMS 5 MIN FROM NYC.,Brooklyn,Williamsburg,Entire home/apt,319,49,03/06/2019
COZY STUDIO WITH PRIVATE ENTRANCE,Queens,Ditmars Steinway,Private room,50,9,30/06/2019
"COMFY PRIVATE BEDROOM, PATIO + 20MIN TO MIDTOWN",Manhattan,East Harlem,Entire home/apt,160,57,29/05/2019
WILLIAMSBURG 3-BED TOWNHOUSE W/ GARDEN BY L TRAIN,Manhattan,Financial District,Private room,109,86,24/06/2019
MONTHLY RENTAL VICTORIAN HOUSE IN BROOKLYN,Brooklyn,Flatbush,Private room,50,2,05/07/2016
COZY FLAT - WALK TO CENTRAL PARK,Brooklyn,Fort Greene,Entire home/apt,150,15,06/04/2019
UPPER WEST SIDE MANHATTAN,Manhattan,Hell's Kitchen,Private room,131,33,03/01/2019
COOL OUT/PRIVATE LARGE ENSUITE NEARJFK SLEEPS 4,Queens,Rosedale,Private room,160,1,07/10/2018
DEE'S REST EASY,Queens,Ditmars Steinway,Private room,65,20,16/06/2019
CHIC LUXURY GARDEN APARTMENT IN BEDSTUY BROOKLYN,Manhattan,Washington Heights,Private room,85,10,01/01/2019
ENTIRE APARTMENT AVAILABLE IN ASTORIA,Brooklyn,Williamsburg,Entire home/apt,150,120,15/06/2019
"COSY PRIVATE BEDROOM IN INWOOD 4 MIN TO TRAIN 1,A",Manhattan,Harlem,Entire home/apt,105,32,08/05/2019
SUN & CENTRAL PARK,Brooklyn,Bedford-Stuyvesant,Private room,50,7,01/01/2017
SHARED ROOM WITH BED TENT (PRIVACY POP).,Manhattan,Nolita,Entire home/apt,275,24,30/05/2019
COZY APARTMENT,Manhattan,Harlem,Private room,149,16,28/06/2019
SUNNY BROWNSTONE GREENHOUSE IN BEDFORD STUYVESANT,Brooklyn,Williamsburg,Private room,50,10,22/12/2018
BEAUTIFUL BED-STUY BEDROOM,Brooklyn,Brooklyn Heights,Entire home/apt,110,3,02/09/2018
COZY ROOM #2 IN BROOKLYN HOME 15 MIN FROM JFK,Manhattan,Theater District,Entire home/apt,160,3,20/03/2018
COZY BRIGHT APARTMENT,Brooklyn,East New York,Private room,35,86,23/06/2019
QUEENS HOME SHORT WALK TO SUBWAY- 2 BEDROOM 2 BATH,Staten Island,Tompkinsville,Private room,72,25,03/09/2018
LUXURIOUS BROOKLYN HEIGHTS DUPLEX WITH TERRASSE,Queens,Long Island City,Entire home/apt,95,46,24/06/2019
"COZY MANHATTAN BEDROOM, SAME STREET AS SUBWAY!",Manhattan,Harlem,Private room,79,56,09/06/2019
NICE NEW BEDROOM NEAR D TRAIN AND MAIMONIDES IN BK,Brooklyn,Bay Ridge,Entire home/apt,75,1,12/06/2016
THE SKYLINE LOFT ¬Äî INCREDIBLE VIEWS NEAR 2 TRAINS,Manhattan,Financial District,Private room,59,24,14/05/2019
COZY SUITE IN A TOWNHOUSE,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,99,15,22/05/2019
"ENTIRE MODERN HOME, AMAZING LOCATION",Brooklyn,Bedford-Stuyvesant,Private room,49,77,07/07/2019
COMFY NEW BEDROOM NEAR D LINE FORT HAMILTON PKWY,Queens,Elmhurst,Private room,47,87,04/06/2019
NEWLY RENOVATED GEM | 1 BLOCK TO SUBWAY | 2BD/2BA,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,650,3,02/07/2019
MANHATTAN STUDIO IN PREWAR BUILDING,Manhattan,Upper East Side,Entire home/apt,199,57,20/06/2019
BEAUTIFUL BROOKLYN APARTMENT,Brooklyn,Bedford-Stuyvesant,Entire home/apt,60,2,31/07/2017
COMFORTABLE PRIVATE BEDROOM 10 MIN TO CENTRAL PARK,Manhattan,East Harlem,Private room,52,33,19/11/2018
HARLEM LUXURY CONDO !NEW! 2 FULL BEDROOMS BALCONY,Brooklyn,Bedford-Stuyvesant,Entire home/apt,155,94,08/06/2019
SUNNY URBAN JUNGLE,Manhattan,Upper West Side,Entire home/apt,171,3,16/11/2016
1BED 1 BATH /UPPER WEST SIDE /LINCOLN CENTER,Brooklyn,East New York,Private room,39,71,10/06/2019
COZY PRIVATE 1 BEDROOM IN BROOKLYN !,Brooklyn,Bushwick,Entire home/apt,115,54,07/06/2019
SUN DRENCHED 1 BEDROOM IN CARROLL GARDENS,Manhattan,Harlem,Private room,69,34,05/07/2019
SPACIOUS & PRIVATE HARLEM/WASHINGTON HEIGHTS ROOM,Manhattan,Hell's Kitchen,Private room,79,136,26/06/2019
PERFECT  STUDIO FOR YOUR NYC TRIP,Manhattan,Harlem,Entire home/apt,170,34,30/06/2019
SUNNY APARTMENT IN TRENDY BUSHWICK,Brooklyn,Bushwick,Private room,52,132,19/06/2019
SPACIOUS BED & PRIVATE BATH IN RENOVATED TOWNHOUSE,Manhattan,Midtown,Private room,80,275,03/07/2019
BRAND NEW BEDROOM NEAR D LINE&MAIMONIDES HOSPITAL,Brooklyn,Williamsburg,Private room,75,30,05/07/2019
PRIVATE BIG ROOM WITH GREAT ACCESS!!!,Manhattan,Harlem,Private room,65,50,24/06/2019
TRANQUILITY STAY-CATION WITH PRIVATE POOL,Brooklyn,Bushwick,Entire home/apt,125,42,21/06/2019
5 ¬òÖ¬òÖ¬òÖ¬òÖ¬òÖ GORGEOUS SUITE ONLY 1 BLOCK FROM SUBWAY!,Brooklyn,Bedford-Stuyvesant,Entire home/apt,140,122,25/06/2019
EXPERIENCE ZEN WILLIAMSBURG LIFE,Manhattan,Hell's Kitchen,Entire home/apt,2000,4,06/01/2017
SUNNY AND COZY PRIVATE CHEF¬ÄôS ROOM IN EAST VILLAGE,Manhattan,Chelsea,Shared room,75,9,24/06/2019
SPACIOUS FURNISHED ROOM IN MIDTOWN,Manhattan,Greenwich Village,Entire home/apt,200,38,30/06/2019
LIGHT & QUIET CHELSEA ONE BEDROOM,Brooklyn,Flatbush,Shared room,46,22,17/05/2019
MODERN 1 BED IN THE HEART OF MIDTOWN MANHATTAN,Manhattan,Upper West Side,Entire home/apt,120,12,23/08/2018
"THE SERENITYSUITE. CLEAN, COZY AND PRIVATE.",Brooklyn,South Slope,Entire home/apt,150,6,19/08/2018
"BRIGHT, CLEAN & COMFORTABLE STUDIO IN BROOKLYN",Brooklyn,Bedford-Stuyvesant,Private room,73,5,08/10/2016
YOUR PERFECT NYC GUESTHOUSE GETAWAY PRVT ENTRANCE,Manhattan,Harlem,Private room,55,60,21/06/2019
NEW PLACE NEAR D LINE EASY TO GET TO MANHATTAN,Brooklyn,Prospect Heights,Entire home/apt,270,3,14/08/2018
PRIVATE SPACIOUS BEDROOM 10MIN FROM MANHATTAN!!,Manhattan,Midtown,Entire home/apt,150,2,03/07/2018
SPACIOUS SANCTUARY + PRIVATE BATH IN HIP BEDSTUY,Brooklyn,Bushwick,Private room,77,47,01/07/2019
SPACIOUS STUDIO IN QUEENS,Manhattan,Harlem,Private room,110,9,04/05/2019
3-BR DUPLEX IN BED-STUY BROWNSTONE,Manhattan,Harlem,Private room,110,20,03/06/2019
"MANHATTAN 1BD IN 2BD NEAR ESB, UN, NYU W/ROOF DECK",Manhattan,Harlem,Private room,79,50,14/10/2018
ENTIRE PRIVATE LOWER UNIT OF OWNER OCCUPIED DUPLEX,Manhattan,East Harlem,Private room,85,46,01/07/2019
QUIET COZY ROOM IN WILLIAMSBURG,Brooklyn,Gowanus,Private room,150,215,05/07/2019
SPACIOUS BROOKLYN LOFT IN CLINTON HILL,Brooklyn,Windsor Terrace,Private room,55,26,23/06/2019
STYLISH & SPACIOUS 1BD IN CENTRAL HARLEM!,Brooklyn,South Slope,Private room,100,1,06/06/2019
MODERN ROOM IN COLIVING/15MIN WALK TO WILLIAMSBURG,Queens,Ridgewood,Private room,45,35,01/07/2019
PRIVATE ROOM B IN PRIME LOCATION,Manhattan,Upper East Side,Entire home/apt,133,10,30/05/2019
PRIVATE ROOM C IN PRIME LOCATION,Bronx,Williamsbridge,Entire home/apt,500,19,05/11/2018
BEAUTIFUL COZY ROOM CLOSE TO MANHATTAN,Brooklyn,Bedford-Stuyvesant,Private room,56,43,30/06/2019
AUTHENTIC AND OPEN TRIBECA LOFT,Manhattan,Little Italy,Private room,75,15,15/02/2019
WILLIAMSBURG PENTHOUSE WITH 3 PRIVATE TERRACES!,Manhattan,Upper West Side,Private room,299,3,31/12/2016
BEAUTIFUL ROOM IN BROOKLYN,Brooklyn,Sheepshead Bay,Private room,51,80,22/06/2019
SHARED ROOM IN ONE MINUTE WALK TO THE M TRAIN!!,Manhattan,Hell's Kitchen,Private room,115,30,02/07/2019
AWESOME DESIGNED SHARED ROOM IN BEAUTIFUL COLIVING,Brooklyn,Bedford-Stuyvesant,Private room,50,3,11/02/2019
QUARTO BRONX (NY),Brooklyn,Bushwick,Entire home/apt,79,156,07/07/2019
SPACIOUS AND SUNNY 2BDR APT IN QUEENS W/ BALCONY,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,94,98,03/07/2019
COZY APARTMENT IN CENTRAL PARK NORTH,Manhattan,Little Italy,Private room,83,26,02/06/2019
LUXURY CONDO WITH KING BED & 4K TV,Brooklyn,Canarsie,Private room,500,1,23/06/2016
PRIME UPPER EAST 2BR~BEST VALUE,Manhattan,Washington Heights,Entire home/apt,150,89,18/06/2019
2BR~PRIME UPPER EAST~CENTRAL PARK~10 MIN,Brooklyn,Bushwick,Entire home/apt,149,41,02/06/2019
HOME AWAY FROM HOME IN UPPER MANHATTAN,Manhattan,Upper West Side,Entire home/apt,150,11,25/11/2017
HEART OF EAST VILLAGE / NEXT TO TOMPKINS SQ PARK,Queens,Flushing,Private room,35,67,01/06/2019
BUSHWICK STREET ART,Brooklyn,Bedford-Stuyvesant,Private room,70,27,16/06/2019
LOFT IN BROOKLYN,Manhattan,Chinatown,Private room,84,25,19/06/2019
THE FOUNTAIN HOUSE,Brooklyn,Midwood,Entire home/apt,115,75,07/07/2019
THE REAL NEW YORK EXPERIENCE,Bronx,Port Morris,Entire home/apt,139,28,28/05/2019
"BEDSTUY BK - PAD
SHORT/ LONG TERM STAYS
NO EVENTS",Bronx,Port Morris,Private room,49,59,11/06/2019
SPACED AND BEAUTIFUL - MANHATTAN - CLOSE TO SUBWAY,Bronx,Port Morris,Private room,41,57,17/06/2019
ONE BED NEAR ALL TRANSPORTATION STEP FROM PARK,Manhattan,Harlem,Private room,60,72,03/06/2019
HOME AWAY FROM HOME-CLOSE TO TRAINS AND JFK,Queens,Astoria,Entire home/apt,99,4,31/10/2018
CHARMING ONE BEDROOM IN COBBLE HILL,Queens,Ditmars Steinway,Private room,100,34,15/04/2019
"CONVENIENT TO THE EAST AND WEST, PRIVATE BASEMENT.",Brooklyn,Brooklyn Heights,Entire home/apt,375,2,29/06/2019
LARGE BEST LOC & VIEW OF NYC! 10 MIN TO TIME SQR,Brooklyn,Bedford-Stuyvesant,Entire home/apt,229,92,15/06/2019
LOFT W/PRIVATE ROOFTOP. SPECTACULAR NYC VIEWS,Brooklyn,Fort Greene,Entire home/apt,175,132,06/07/2019
CHARMING GARDEN APARTMENT IN BROOKLYN BROWNSTONE,Bronx,Tremont,Private room,41,22,24/06/2019
COZY ONE BEDROOM APT IN BROOKLYN CLOSE TO BEACHES,Manhattan,Morningside Heights,Private room,110,58,22/06/2019
COZY&QUITE WITH PARK AROUND THE BLOCK BARS & SHOPS,Manhattan,Hell's Kitchen,Entire home/apt,239,1,20/04/2017
ART LOVER¬ÄôS DREAM! CHELSEA DELIGHT!,Queens,Jackson Heights,Entire home/apt,125,86,02/07/2019
